Time,Healthy_Chi,Healthy_q0_Norm,Healthy_q1_Norm,Healthy_q2_Norm,Healthy_q3_Norm,Degenerative_Chi,Degenerative_q0_Norm,Degenerative_q1_Norm,Degenerative_q2_Norm,Degenerative_q3_Norm,REN01_Chi,REN01_q0_Norm,REN01_q1_Norm,REN01_q2_Norm,REN01_q3_Norm
0.00,17.189622,40.146892,5.893473,25.597031,5.756093,3.712931,11.297746,40.141668,11.116749,15.729525,4.964331,10.711424,40.431639,11.020037,15.483205
0.40,17.007236,32.920856,12.544592,29.119530,8.449144,3.813867,11.274908,38.874044,11.313144,13.430567,4.433743,5.674948,42.208981,8.923916,8.093626
0.80,16.397707,24.669055,17.935763,31.005898,10.352051,3.893771,11.064641,37.614866,11.409790,11.337305,5.541213,15.596836,38.854956,6.396786,4.961950
1.20,15.544257,16.033350,21.877369,31.350614,11.419229,3.957818,10.695281,36.370391,11.426273,9.448630,7.909794,24.824951,30.789923,4.498097,10.210524
1.60,14.586719,7.654744,24.428673,30.267571,11.779443,4.010410,10.196177,35.143065,11.379323,7.766374,10.425789,30.761337,19.060902,4.631473,15.427355
2.00,13.661211,3.460642,25.649977,27.881941,11.603433,4.054998,9.595029,33.933094,11.282640,6.299714,11.748730,32.263188,6.372402,6.021241,18.452396
2.40,12.934567,9.777976,25.561091,24.342105,11.038529,4.094135,8.916970,32.739483,11.147179,5.071398,11.092202,29.112308,10.183302,7.228647,18.760220
2.80,12.587947,16.522830,24.159197,19.838358,10.178955,4.129616,8.184529,31.560711,10.981591,4.125012,8.786136,22.167849,20.911860,7.776141,16.445095
3.20,12.758042,22.265918,21.466610,14.627626,9.064475,4.162642,7.418073,30.395126,10.792661,3.522792,6.126854,12.993900,28.246337,7.560233,12.102559
3.60,13.470157,26.607478,17.590782,9.089845,7.703165,4.193964,6.636560,29.241184,10.585696,3.306729,4.602552,4.331961,31.289561,6.614203,6.756446
4.00,14.594201,29.246112,12.775967,4.148966,6.112326,4.223999,5.858616,28.097567,10.364846,3.433607,5.089217,8.587429,29.984892,5.140058,3.278714
4.40,15.851012,29.993960,7.431309,4.414716,4.369664,4.252927,5.104085,26.963245,10.133357,3.783989,7.401829,16.431192,24.717738,3.627516,6.660854
4.80,16.893836,28.838631,2.383472,8.666613,2.695271,4.280752,4.396323,25.837493,9.893773,4.240756,10.350253,21.952667,16.353633,2.986812,10.675624
5.20,17.444643,25.966661,3.890343,12.606651,1.767743,4.307353,3.765459,24.719888,9.648089,4.727571,12.321177,24.119515,6.609415,3.602247,13.133121
5.60,17.397997,21.724083,8.197046,15.600072,2.390191,4.332523,3.251846,23.610296,9.397869,5.202474,12.158848,22.653260,5.962004,4.534724,13.588156
6.00,16.825897,16.538976,11.738821,17.489329,3.517787,4.355990,2.905054,22.508853,9.144337,5.643852,9.913965,18.021333,14.283178,5.140902,12.070488
6.40,15.915602,10.857590,14.291488,18.250960,4.478310,4.377440,2.768119,21.415943,8.888450,6.041078,6.896818,11.281606,20.406654,5.216886,8.978022
6.80,14.907796,5.190134,15.813340,17.933884,5.135856,4.396525,2.847355,20.332175,8.630951,6.389426,4.889504,4.196820,23.239333,4.739921,5.041766
7.20,14.055012,2.321791,16.318965,16.635302,5.479407,4.412885,3.101581,19.258367,8.372414,6.687414,5.103508,5.602645,22.613009,3.824419,2.341419
7.60,13.583246,6.599416,15.851071,14.491329,5.530693,4.426148,3.469028,18.195522,8.113278,6.935383,7.500920,11.725471,18.828217,2.763664,4.854708
8.00,13.646596,11.015025,14.479337,11.675745,5.316576,4.435948,3.896130,17.144806,7.853880,7.134734,10.792829,16.160238,12.607410,2.129421,7.860073
8.40,14.283484,14.589685,12.312212,8.405463,4.862404,4.441929,4.345803,16.107532,7.594477,7.287481,13.127510,18.030342,5.262763,2.399443,9.681949
8.80,15.390078,17.084458,9.510065,4.975273,4.197022,4.443761,4.794369,15.085135,7.335268,7.395996,13.130676,17.125362,4.232190,3.065404,9.999761
9.20,16.727314,18.373172,6.291563,2.171327,3.363827,4.441148,5.226927,14.079152,7.076410,7.462856,10.770488,13.767695,10.516923,3.565219,8.844302
9.60,17.975397,18.424994,2.954818,3.145834,2.435282,4.433843,5.634015,13.091198,6.818038,7.490745,7.456472,8.716412,15.218696,3.690565,6.513816
10.00,18.829884,17.308269,1.151164,5.810234,1.547463,4.421658,6.009571,12.122947,6.560276,7.482391,5.202256,3.279590,17.408920,3.404047,3.560174
10.40,19.099875,15.181350,3.771606,8.140380,1.050553,4.404478,6.349727,11.176105,6.303250,7.440523,5.422496,4.160926,16.923681,2.781046,1.696614
10.80,18.760511,12.268939,6.296102,9.845289,1.352067,4.382276,6.652103,10.252388,6.047098,7.367850,8.097262,8.826989,14.007073,2.022650,3.750678
11.20,17.946022,8.834120,8.254012,10.837491,1.967228,4.355123,6.915368,9.353507,5.791975,7.267034,11.755918,12.172336,9.254451,1.526981,5.970023
11.60,16.904550,5.167222,9.554609,11.103882,2.520971,4.323200,7.138975,8.481140,5.538065,7.140676,14.299844,13.543233,3.711604,1.686977,7.260271
12.00,15.937426,1.788778,10.172297,10.681121,2.915871,4.286803,7.322971,7.636925,5.285579,6.991310,14.220050,12.809791,3.361579,2.176790,7.411762
12.40,15.332060,2.645844,10.122078,9.644546,3.126851,4.246356,7.467880,6.822447,5.034764,6.821390,11.546559,10.227926,8.101678,2.558695,6.466457
12.80,15.295232,5.621512,9.451708,8.101251,3.152666,4.202405,7.574605,6.039241,4.785898,6.633282,7.899980,6.370672,11.571514,2.663436,4.660472
13.20,15.899477,8.170847,8.239272,6.185819,3.003563,4.155625,7.644365,5.288814,4.539293,6.429260,5.530373,2.273452,13.113128,2.460020,2.425093
13.60,17.056552,10.059994,6.592135,4.063083,2.698274,4.106806,7.678627,4.572685,4.295292,6.211504,5.962108,3.331188,12.611687,2.005272,1.279804
14.00,18.528551,11.193599,4.644535,1.992853,2.264680,4.056851,7.679070,3.892490,4.054264,5.982089,9.067710,6.847354,10.277654,1.448336,2.980953
14.40,19.981839,11.541338,2.557784,1.278962,1.742357,4.006759,7.647534,3.250186,3.816603,5.742990,13.108352,9.283477,6.598144,1.087683,4.599944
14.80,21.076368,11.131124,0.685179,2.816680,1.190072,3.957608,7.585988,2.648493,3.582722,5.496074,15.733112,10.197111,2.424654,1.221589,5.484253
15.20,21.563475,10.043318,1.719791,4.412058,0.725571,3.910534,7.496493,2.091905,3.353047,5.243101,15.374291,9.523178,2.829368,1.593758,5.505245
15.60,21.356067,8.400613,3.401104,5.665639,0.641334,3.866709,7.381175,1.589231,3.128011,4.985726,12.238988,7.476395,6.381420,1.876306,4.712680
16.00,20.548902,6.355301,4.770967,6.487286,0.959077,3.827317,7.242197,1.160537,2.908051,4.725493,8.244021,4.502015,8.880546,1.946526,3.297415
16.40,19.390077,4.079630,5.741852,6.848711,1.332636,3.793525,7.081732,0.854655,2.693605,4.463844,5.874505,1.467777,9.895500,1.785181,1.604375
16.80,18.217509,1.794056,6.280213,6.758794,1.634186,3.766455,6.901946,0.758410,2.485102,4.202112,6.678648,2.767348,9.362553,1.438774,1.024612
17.20,17.375765,1.016977,6.384365,6.255670,1.828129,3.747161,6.704976,0.887894,2.282967,3.941531,10.310857,5.385664,7.467195,1.023132,2.396612
17.60,17.130043,2.876371,6.078979,5.401315,1.904345,3.736600,6.492912,1.134031,2.087615,3.683234,14.699852,7.117050,4.605390,0.772696,3.563618
18.00,17.596900,4.603946,5.411551,4.276931,1.864570,3.735606,6.267789,1.411815,1.899452,3.428257,17.261818,7.676989,1.490429,0.902996,4.151908
18.40,18.709561,5.938868,4.449080,2.980380,1.718593,3.744866,6.031570,1.686383,1.718886,3.177543,16.457371,7.044852,2.435797,1.189325,4.086918
18.80,20.228452,6.807530,3.274261,1.638916,1.482960,3.764898,5.786140,1.944394,1.546325,2.931948,12.769762,5.403093,5.069263,1.393495,3.420956
19.20,21.798041,7.182502,1.982396,0.671730,1.180721,3.796032,5.533294,2.180507,1.382197,2.692243,8.461878,3.102638,6.836588,1.432547,2.309102
19.60,23.039005,7.073004,0.704732,1.372489,0.843016,3.838390,5.274739,2.392636,1.226971,2.459122,6.219549,0.923246,7.462847,1.297578,1.032999
